39, Male, White, Bachelors, Never-married, United-States, State-gov, Adm-clerical, <=50K
50, Male, White, Bachelors, Married-civ-spouse, United-States, Self-emp-not-inc, Exec-managerial, <=50K
38, Male, White, HS-grad, Divorced, United-States, Private, Handlers-cleaners, <=50K
53, Male, Black, 11th, Married-civ-spouse, United-States, Private, Handlers-cleaners, <=50K
28, Female, Black, Bachelors, Married-civ-spouse, Cuba, Private, Prof-specialty, <=50K
37, Female, White, Masters, Married-civ-spouse, United-States, Private, Exec-managerial, <=50K
49, Female, Black, 9th, Married-spouse-absent, Jamaica, Private, Other-service, <=50K
52, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Exec-managerial, >50K
31, Female, White, Masters, Never-married, United-States, Private, Prof-specialty, >50K
42, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
37, Male, Black, Some-college, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
30, Male, Asian-Pac-Islander, Bachelors, Married-civ-spouse, India, State-gov, Prof-specialty, >50K
23, Female, White, Bachelors, Never-married, United-States, Private, Adm-clerical, <=50K
32, Male, Black, Assoc-acdm, Never-married, United-States, Private, Sales, <=50K
34, Male, Amer-Indian-Eskimo, 7th-8th, Married-civ-spouse, Mexico, Private, Transport-moving, <=50K
25, Male, White, HS-grad, Never-married, United-States, Self-emp-not-inc, Farming-fishing, <=50K
32, Male, White, HS-grad, Never-married, United-States, Private, Machine-op-inspct, <=50K
38, Male, White, 11th, Married-civ-spouse, United-States, Private, Sales, <=50K
43, Female, White, Masters, Divorced, United-States, Self-emp-not-inc, Exec-managerial, >50K
40, Male, White, Doctorate, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
54, Female, Black, HS-grad, Separated, United-States, Private, Other-service, <=50K
35, Male, Black, 9th, Married-civ-spouse, United-States, Federal-gov, Farming-fishing, <=50K
43, Male, White, 11th, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
59, Female, White, HS-grad, Divorced, United-States, Private, Tech-support, <=50K
56, Male, White, Bachelors, Married-civ-spouse, United-States, Local-gov, Tech-support, >50K
19, Male, White, HS-grad, Never-married, United-States, Private, Craft-repair, <=50K
39, Male, White, HS-grad, Divorced, United-States, Private, Exec-managerial, <=50K
49, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
23, Male, White, Assoc-acdm, Never-married, United-States, Local-gov, Protective-serv, <=50K
20, Male, Black, Some-college, Never-married, United-States, Private, Sales, <=50K
45, Male, White, Bachelors, Divorced, United-States, Private, Exec-managerial, <=50K
30, Male, White, Some-college, Married-civ-spouse, United-States, Federal-gov, Adm-clerical, <=50K
22, Male, Black, Some-college, Married-civ-spouse, United-States, State-gov, Other-service, <=50K
48, Male, White, 11th, Never-married, Puerto-Rico, Private, Machine-op-inspct, <=50K
21, Male, White, Some-college, Never-married, United-States, Private, Machine-op-inspct, <=50K
19, Female, White, HS-grad, Married-AF-spouse, United-States, Private, Adm-clerical, <=50K
48, Male, White, Assoc-acdm, Married-civ-spouse, United-States, Self-emp-not-inc, Prof-specialty, <=50K
31, Male, White, 9th, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
53, Male, White, Bachelors, Married-civ-spouse, United-States, Self-emp-not-inc, Prof-specialty, <=50K
24, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Tech-support, <=50K
49, Female, White, HS-grad, Separated, United-States, Private, Adm-clerical, <=50K
25, Male, White, HS-grad, Never-married, United-States, Private, Handlers-cleaners, <=50K
57, Male, Black, Bachelors, Married-civ-spouse, United-States, Federal-gov, Prof-specialty, >50K
53, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
44, Female, White, Masters, Divorced, United-States, Private, Exec-managerial, <=50K
41, Male, White, Assoc-voc, Married-civ-spouse, United-States, State-gov, Craft-repair, <=50K
29, Male, White, Assoc-voc, Never-married, United-States, Private, Prof-specialty, <=50K
25, Female, Other, Some-college, Married-civ-spouse, United-States, Private, Exec-managerial, <=50K
47, Female, White, Prof-school, Married-civ-spouse, Honduras, Private, Prof-specialty, >50K
50, Male, White, Bachelors, Divorced, United-States, Federal-gov, Exec-managerial, >50K
