LIMIT_BAL,BILL_AMOUNT,JOB,SEX,EDUCATION,MARRIAGE,AGE,PAY_DUE
10000,8602,Artist,Any,University,Single,1,Yes
110000,83755,Artist,Any,University,Single,1,No
70000,65802,Artist,Any,University,Single,1,Yes
70000,41087,Artist,Any,University,Single,1,Yes
30000,28452,Artist,Any,University,Single,1,No
170000,19269,Artist,Any,University,Single,1,Yes
20000,16001,Artist,Any,University,Single,1,No
120000,107314,Artist,Any,University,Single,1,No
470000,296573,Artist,Any,University,Single,1,No
50000,49758,Artist,Any,University,Single,1,Yes
50000,50867,Artist,Any,University,Single,1,No
30000,29242,Artist,Any,University,Single,1,No
400000,19532,Artist,Any,University,Single,1,No
50000,13694,Artist,Any,University,Single,1,Yes
100000,1370,Artist,Any,University,Single,1,No
50000,47081,Artist,Any,University,Single,1,Yes
240000,141315,Artist,Any,University,Single,1,No
500000,507726,Artist,Any,University,Single,1,Yes
320000,71305,Artist,Any,University,Single,1,No
130000,89055,Artist,Any,University,Single,1,No
50000,0,Artist,Any,University,Single,1,No
120000,120298,Artist,Any,University,Single,1,No
230000,13668,Artist,Any,University,Single,1,Yes
90000,91894,Artist,Any,University,Single,1,No
50000,350,Artist,Any,University,Single,1,No
290000,20807,Artist,Any,University,Single,1,No
140000,131367,Artist,Any,University,Single,1,Yes
70000,41264,Artist,Any,University,Single,1,No
170000,28304,Artist,Any,University,Single,1,No
20000,16440,Artist,Any,University,Single,1,No
180000,42238,Artist,Any,University,Single,1,No
20000,18355,Artist,Any,University,Single,1,No
20000,18649,Artist,Any,University,Single,1,No
20000,17208,Artist,Any,University,Single,1,No
140000,26450,Artist,Any,University,Single,1,No
40000,36650,Artist,Any,University,Single,1,No
180000,340,Artist,Any,University,Single,1,No
370000,276436,Artist,Any,University,Single,1,No
30000,2400,Artist,Any,University,Single,1,Yes
170000,162671,Artist,Any,University,Single,1,No
20000,10476,Artist,Any,University,Single,1,No
160000,80964,Artist,Any,University,Single,1,No
10000,7960,Artist,Any,University,Single,1,Yes
140000,197,Artist,Any,University,Single,1,No
220000,31037,Artist,Any,University,Single,1,No
80000,998,Artist,Any,University,Single,1,No
80000,22895,Artist,Any,University,Single,1,No
130000,131041,Artist,Any,University,Single,1,No
220000,168286,Artist,Any,University,Single,1,No
30000,27772,Artist,Any,University,Single,1,No
50000,50342,Artist,Any,University,Single,1,No
260000,68411,Artist,Any,University,Single,1,No
160000,1989,Artist,Any,University,Single,1,Yes
50000,21062,Artist,Any,University,Single,1,No
50000,3779,Artist,Any,University,Single,1,No
180000,5591,Artist,Any,University,Single,1,Yes
360000,286732,Artist,Any,University,Single,1,No
80000,57376,Artist,Any,University,Single,1,No
50000,780,Artist,Any,University,Single,1,Yes
100000,61383,Artist,Any,University,Single,1,No
80000,57314,Artist,Any,University,Single,1,No
50000,47053,Artist,Any,University,Single,1,Yes
20000,780,Artist,Any,University,Single,1,No
170000,97474,Artist,Any,University,Single,1,No
20000,20297,Artist,Any,University,Single,1,No
50000,50834,Artist,Any,University,Single,1,Yes
100000,44953,Artist,Any,University,Single,1,No
110000,6470,Artist,Any,University,Single,1,No
180000,4745,Artist,Any,University,Single,1,No
180000,126195,Artist,Any,University,Single,1,No
180000,108580,Artist,Any,University,Single,1,Yes
420000,28206,Artist,Any,University,Single,1,No
130000,133622,Artist,Any,University,Single,1,No
20000,17384,Artist,Any,University,Single,1,No
30000,33195,Artist,Any,University,Single,1,No
10000,15147,Artist,Any,University,Single,1,No
90000,17524,Artist,Any,University,Single,1,No
20000,19433,Artist,Any,University,Single,1,No
50000,30501,Artist,Any,University,Single,1,No
30000,3226,Artist,Any,University,Single,1,Yes
230000,95311,Artist,Any,University,Single,1,No
120000,2474,Artist,Any,University,Single,1,No
100000,9614,Artist,Any,University,Single,1,No
30000,24285,Artist,Any,University,Single,1,No
150000,3559,Artist,Any,University,Single,1,No
360000,114527,Artist,Any,University,Single,1,No
20000,15789,Artist,Any,University,Single,1,No
280000,82742,Artist,Any,University,Single,1,No
200000,186806,Artist,Any,University,Single,1,No
360000,23900,Artist,Any,University,Single,1,No
50000,402,Artist,Any,University,Single,1,No
280000,204773,Artist,Any,University,Single,1,No
30000,27358,Artist,Any,University,Single,1,No
360000,238971,Artist,Any,University,Single,1,Yes
20000,18553,Dealer,Any,Graduate School,Single,1,No
170000,130370,Dealer,Any,Graduate School,Single,1,No
50000,1156,Dealer,Any,Graduate School,Single,1,No
200000,2393,Dealer,Any,Graduate School,Single,1,No
210000,69937,Dealer,Any,Graduate School,Single,1,No
50000,14811,Dealer,Any,Graduate School,Single,1,No
110000,48123,Dealer,Any,Graduate School,Single,1,No
150000,0,Dealer,Any,Graduate School,Single,1,No
230000,2403,Dealer,Any,Graduate School,Single,1,No
360000,3280,Dealer,Any,Graduate School,Single,1,Yes
20000,20137,Dealer,Any,Graduate School,Single,1,No
50000,15448,Dealer,Any,Graduate School,Single,1,Yes
20000,20243,Dealer,Any,Graduate School,Single,1,No
80000,80000,Dealer,Any,Graduate School,Single,1,No
20000,16233,Dealer,Any,Graduate School,Single,1,Yes
80000,3526,Dealer,Any,Graduate School,Single,1,No
20000,10658,Dealer,Any,Graduate School,Single,1,No
70000,853,Dealer,Any,Graduate School,Single,1,No
70000,67857,Dealer,Any,Graduate School,Single,1,No
300000,42189,Dealer,Any,Graduate School,Single,1,No
200000,2290,Dealer,Any,Graduate School,Single,1,No
170000,23594,Dealer,Any,Graduate School,Single,1,No
20000,23538,Dealer,Any,Graduate School,Single,1,No
230000,-5,Dealer,Any,Graduate School,Single,1,No
400000,5154,Dealer,Any,Graduate School,Single,1,No
100000,555,Dealer,Any,Graduate School,Single,1,Yes
20000,0,Dealer,Any,Graduate School,Single,1,Yes
10000,10438,Dealer,Any,Graduate School,Single,1,No
50000,24987,Dealer,Any,Graduate School,Single,1,Yes
380000,-81,Dealer,Any,Graduate School,Single,1,No
100000,52128,Dealer,Any,Graduate School,Single,1,No
30000,18199,Dealer,Any,Graduate School,Single,1,Yes
240000,326,Dealer,Any,Graduate School,Single,1,No
20000,19115,Dealer,Any,Graduate School,Single,1,No
210000,60502,Lawyer,Any,Graduate School,Single,2,No
90000,34302,Lawyer,Any,Graduate School,Single,2,No
100000,40810,Lawyer,Any,Graduate School,Single,2,No
260000,0,Lawyer,Any,Graduate School,Single,2,Yes
390000,50620,Lawyer,Any,Graduate School,Single,2,No
100000,29109,Lawyer,Any,Graduate School,Single,2,No
360000,0,Lawyer,Any,Graduate School,Single,2,Yes
200000,-5,Lawyer,Any,Graduate School,Single,2,No
190000,115056,Lawyer,Any,Graduate School,Single,2,No
250000,215316,Lawyer,Any,Graduate School,Single,2,No
70000,2400,Lawyer,Any,Graduate School,Single,2,Yes
250000,584,Lawyer,Any,Graduate School,Single,2,No
290000,632,Lawyer,Any,Graduate School,Single,2,No
30000,142,Lawyer,Any,Graduate School,Single,2,No
150000,46272,Lawyer,Any,Graduate School,Single,2,No
550000,43769,Lawyer,Any,Graduate School,Single,2,No
130000,31179,Lawyer,Any,Graduate School,Single,2,No
310000,35064,Lawyer,Any,Graduate School,Single,2,No
200000,105420,Lawyer,Any,Graduate School,Single,2,No
